TorneoID,Tournament,Year,Series,Surface
Australian Open_2000,Australian Open,2000,GRAND SLAM,Hard
French Open_2000,French Open,2000,GRAND SLAM,Clay
Wimbledon_2000,Wimbledon,2000,GRAND SLAM,Grass
US Open_2000,US Open,2000,GRAND SLAM,Hard
Australian Open_2001,Australian Open,2001,GRAND SLAM,Hard
French Open_2001,French Open,2001,GRAND SLAM,Clay
Wimbledon_2001,Wimbledon,2001,GRAND SLAM,Grass
US Open_2001,US Open,2001,GRAND SLAM,Hard
Australian Open_2002,Australian Open,2002,GRAND SLAM,Hard
French Open_2002,French Open,2002,GRAND SLAM,Clay
Wimbledon_2002,Wimbledon,2002,GRAND SLAM,Grass
US Open_2002,US Open,2002,GRAND SLAM,Hard
Australian Open_2003,Australian Open,2003,GRAND SLAM,Hard
French Open_2003,French Open,2003,GRAND SLAM,Clay
Wimbledon_2003,Wimbledon,2003,GRAND SLAM,Grass
US Open_2003,US Open,2003,GRAND SLAM,Hard
Australian Open_2004,Australian Open,2004,GRAND SLAM,Hard
French Open_2004,French Open,2004,GRAND SLAM,Clay
Wimbledon_2004,Wimbledon,2004,GRAND SLAM,Grass
US Open_2004,US Open,2004,GRAND SLAM,Hard
Australian Open_2005,Australian Open,2005,GRAND SLAM,Hard
French Open_2005,French Open,2005,GRAND SLAM,Clay
Wimbledon_2005,Wimbledon,2005,GRAND SLAM,Grass
US Open_2005,US Open,2005,GRAND SLAM,Hard
Australian Open_2006,Australian Open,2006,GRAND SLAM,Hard
French Open_2006,French Open,2006,GRAND SLAM,Clay
Wimbledon_2006,Wimbledon,2006,GRAND SLAM,Grass
US Open_2006,US Open,2006,GRAND SLAM,Hard
Australian Open_2007,Australian Open,2007,GRAND SLAM,Hard
French Open_2007,French Open,2007,GRAND SLAM,Clay
Wimbledon_2007,Wimbledon,2007,GRAND SLAM,Grass
US Open_2007,US Open,2007,GRAND SLAM,Hard
Australian Open_2008,Australian Open,2008,GRAND SLAM,Hard
French Open_2008,French Open,2008,GRAND SLAM,Clay
Wimbledon_2008,Wimbledon,2008,GRAND SLAM,Grass
US Open_2008,US Open,2008,GRAND SLAM,Hard
Heineken Open_2009,Heineken Open,2009,ATP250,Hard
Medibank International_2009,Medibank International,2009,ATP250,Hard
Australian Open_2009,Australian Open,2009,GRAND SLAM,Hard
SA Tennis Open_2009,SA Tennis Open,2009,ATP250,Hard
Movistar Open_2009,Movistar Open,2009,ATP250,Clay
PBZ Zagreb Indoors_2009,PBZ Zagreb Indoors,2009,ATP250,Carpet
Brasil Open_2009,Brasil Open,2009,ATP250,Clay
ABN AMRO World Tennis Tournament_2009,ABN AMRO World Tennis Tournament,2009,ATP500,Hard
SAP Open_2009,SAP Open,2009,ATP250,Hard
Copa Telmex_2009,Copa Telmex,2009,ATP250,Clay
Open 13_2009,Open 13,2009,ATP250,Hard
Regions Morgan Keegan Championships_2009,Regions Morgan Keegan Championships,2009,ATP250,Hard
Abierto Mexicano_2009,Abierto Mexicano,2009,ATP500,Clay
International Championships_2009,International Championships,2009,ATP250,Hard
Dubai Tennis Championships_2009,Dubai Tennis Championships,2009,ATP500,Hard
BNP Paribas Open_2009,BNP Paribas Open,2009,MASTERS 1000,Hard
Sony Ericsson Open_2009,Sony Ericsson Open,2009,MASTERS 1000,Hard
Grand Prix Hassan II_2009,Grand Prix Hassan II,2009,ATP250,Clay
U.S. Men's Clay Court Championships_2009,U.S. Men's Clay Court Championships,2009,ATP250,Clay
Monte Carlo Masters_2009,Monte Carlo Masters,2009,MASTERS 1000,Clay
Open Banco Sabadell _2009,Open Banco Sabadell ,2009,ATP500,Clay
Internazionali BNL d'Italia_2009,Internazionali BNL d'Italia,2009,MASTERS 1000,Clay
Serbia Open_2009,Serbia Open,2009,ATP250,Clay
Estoril Open_2009,Estoril Open,2009,ATP250,Clay
BMW Open_2009,BMW Open,2009,ATP250,Clay
Mutua Madrileña Madrid Open_2009,Mutua Madrileña Madrid Open,2009,MASTERS 1000,Clay
Austrian Open_2009,Austrian Open,2009,ATP250,Clay
French Open_2009,French Open,2009,GRAND SLAM,Clay
Gerry Weber Open_2009,Gerry Weber Open,2009,ATP250,Grass
AEGON Championships_2009,AEGON Championships,2009,ATP250,Grass
AEGON International_2009,AEGON International,2009,ATP250,Grass
Ordina Open_2009,Ordina Open,2009,ATP250,Grass
Wimbledon_2009,Wimbledon,2009,GRAND SLAM,Grass
Hall of Fame Championships_2009,Hall of Fame Championships,2009,ATP250,Grass
Catella Swedish Open_2009,Catella Swedish Open,2009,ATP250,Clay
Mercedes Cup_2009,Mercedes Cup,2009,ATP250,Clay
