Finalista,Series,Tournament,Year,WRank,Surface,LRank,Tournament_Year
Agassi A.,Grand Slam,Australian Open,2000,1,Hard,0,Australian Open_2000
Kuerten G.,Grand Slam,French Open,2000,5,Clay,0,French Open_2000
Sampras P.,Grand Slam,Wimbledon,2000,3,Grass,0,Wimbledon_2000
Safin M.,Grand Slam,US Open,2000,7,Hard,0,US Open_2000
Agassi A.,Grand Slam,Australian Open,2001,6,Hard,0,Australian Open_2001
Kuerten G.,Grand Slam,French Open,2001,1,Clay,0,French Open_2001
Ivanisevic G.,Grand Slam,Wimbledon,2001,125,Grass,0,Wimbledon_2001
Hewitt L.,Grand Slam,US Open,2001,4,Hard,0,US Open_2001
Johansson T.,Grand Slam,Australian Open,2002,18,Hard,0,Australian Open_2002
Costa A.,Grand Slam,French Open,2002,22,Clay,0,French Open_2002
Hewitt L.,Grand Slam,Wimbledon,2002,1,Grass,0,Wimbledon_2002
Sampras P.,Grand Slam,US Open,2002,17,Hard,0,US Open_2002
Agassi A.,Grand Slam,Australian Open,2003,2,Hard,0,Australian Open_2003
Ferrero J.C.,Grand Slam,French Open,2003,3,Clay,0,French Open_2003
Federer R.,Grand Slam,Wimbledon,2003,5,Grass,0,Wimbledon_2003
Roddick A.,Grand Slam,US Open,2003,4,Hard,0,US Open_2003
Federer R.,Grand Slam,Australian Open,2004,2,Hard,0,Australian Open_2004
Gaudio G.,Grand Slam,French Open,2004,44,Clay,0,French Open_2004
Federer R.,Grand Slam,Wimbledon,2004,1,Grass,0,Wimbledon_2004
Federer R.,Grand Slam,US Open,2004,1,Hard,0,US Open_2004
Safin M.,Grand Slam,Australian Open,2005,4,Hard,0,Australian Open_2005
Nadal R.,Grand Slam,French Open,2005,5,Clay,0,French Open_2005
Federer R.,Grand Slam,Wimbledon,2005,1,Grass,0,Wimbledon_2005
Federer R.,Grand Slam,US Open,2005,1,Hard,0,US Open_2005
Federer R.,Grand Slam,Australian Open,2006,1,Hard,0,Australian Open_2006
Nadal R.,Grand Slam,French Open,2006,2,Clay,0,French Open_2006
Federer R.,Grand Slam,Wimbledon,2006,1,Grass,0,Wimbledon_2006
Federer R.,Grand Slam,US Open,2006,1,Hard,0,US Open_2006
Federer R.,Grand Slam,Australian Open,2007,1,Hard,0,Australian Open_2007
Nadal R.,Grand Slam,French Open,2007,2,Clay,0,French Open_2007
Federer R.,Grand Slam,Wimbledon,2007,1,Grass,0,Wimbledon_2007
Federer R.,Grand Slam,US Open,2007,1,Hard,0,US Open_2007
Djokovic N.,Grand Slam,Australian Open,2008,3,Hard,0,Australian Open_2008
Nadal R.,Grand Slam,French Open,2008,2,Clay,0,French Open_2008
Nadal R.,Grand Slam,Wimbledon,2008,2,Grass,0,Wimbledon_2008
Federer R.,Grand Slam,US Open,2008,2,Hard,0,US Open_2008
Del Potro J.M.,ATP250,Heineken Open,2009,9,Hard,0,Heineken Open_2009
Nalbandian D.,ATP250,Medibank International,2009,11,Hard,0,Medibank International_2009
Nadal R.,Grand Slam,Australian Open,2009,1,Hard,0,Australian Open_2009
Tsonga J.W.,ATP250,SA Tennis Open,2009,14,Hard,0,SA Tennis Open_2009
Gonzalez F.,ATP250,Movistar Open,2009,18,Clay,0,Movistar Open_2009
Cilic M.,ATP250,PBZ Zagreb Indoors,2009,22,Hard,0,PBZ Zagreb Indoors_2009
Robredo T.,ATP250,Brasil Open,2009,19,Clay,0,Brasil Open_2009
Murray A.,ATP500,ABN AMRO World Tennis Tournament,2009,4,Hard,0,ABN AMRO World Tennis Tournament_2009
Stepanek R.,ATP250,SAP Open,2009,21,Hard,0,SAP Open_2009
Robredo T.,ATP250,Copa Telmex,2009,17,Clay,0,Copa Telmex_2009
Tsonga J.W.,ATP250,Open 13,2009,12,Hard,0,Open 13_2009
Roddick A.,ATP250,Regions Morgan Keegan Championships,2009,6,Hard,0,Regions Morgan Keegan Championships_2009
Almagro N.,ATP500,Abierto Mexicano,2009,21,Clay,0,Abierto Mexicano_2009
Fish M.,ATP250,International Championships,2009,20,Hard,0,International Championships_2009
Djokovic N.,ATP500,Dubai Tennis Championships,2009,3,Hard,0,Dubai Tennis Championships_2009
Nadal R.,Masters 1000,BNP Paribas Open,2009,1,Hard,0,BNP Paribas Open_2009
Murray A.,Masters 1000,Sony Ericsson Open,2009,4,Hard,0,Sony Ericsson Open_2009
Ferrero J.C.,ATP250,Grand Prix Hassan II,2009,115,Clay,0,Grand Prix Hassan II_2009
Hewitt L.,ATP250,U.S. Men's Clay Court Championships,2009,88,Clay,0,U.S. Men's Clay Court Championships_2009
Nadal R.,Masters 1000,Monte Carlo Masters,2009,1,Clay,0,Monte Carlo Masters_2009
Nadal R.,ATP500,Open Banco Sabadell ,2009,1,Clay,0,Open Banco Sabadell _2009
Nadal R.,Masters 1000,Internazionali BNL d'Italia,2009,1,Clay,0,Internazionali BNL d'Italia_2009
Djokovic N.,ATP250,Serbia Open,2009,3,Clay,0,Serbia Open_2009
Montanes A.,ATP250,Estoril Open,2009,35,Clay,0,Estoril Open_2009
Berdych T.,ATP250,BMW Open,2009,28,Clay,0,BMW Open_2009
Federer R.,Masters 1000,Mutua Madrileña Madrid Open,2009,2,Clay,0,Mutua Madrileña Madrid Open_2009
Garcia-Lopez G.,ATP250,Austrian Open,2009,74,Clay,0,Austrian Open_2009
Federer R.,Grand Slam,French Open,2009,2,Clay,0,French Open_2009
Haas T.,ATP250,Gerry Weber Open,2009,41,Grass,0,Gerry Weber Open_2009
Murray A.,ATP250,AEGON Championships,2009,3,Grass,0,AEGON Championships_2009
Tursunov D.,ATP250,AEGON International,2009,27,Grass,0,AEGON International_2009
Becker B.,ATP250,Ordina Open,2009,82,Grass,0,Ordina Open_2009
Federer R.,Grand Slam,Wimbledon,2009,2,Grass,0,Wimbledon_2009
